NOMBRE_COMPANIA|COMISION_COMPANIA|IDENTIFICACION_EMPLEADO|TELEFONO_EMPLEADO|NOMBRE_EMPLEADO|NUMERO_CUENTA|NUMERO_TARJETA|OPERADOR_TARJETA|VENCIMIENTO_TARJETA|SALDO_CUENTA|MONEDA|COTIZACION_USD
TechNova|19.1|236-35-5980|(315)921-4310x685|Lisa Thompson|bffe154c-0f44-4bbc-8bb1-c61b741dbd2b|4038706183367325|American Express|12/27|37263.48|Euro|1.1
TechNova|7.03|158-19-5460|(685)556-2762|Nicole Hester|89ccadc7-c7d3-4b4e-b5b5-57a2d129044b|4900743109773398|Mastercard|01/26|18796.7|Libra|1.3
BluePeak Systems|4.49|714-73-3133|+1-480-608-8763x15953|Krista Ellis|b131812d-6f0c-42b0-8509-ac2e1c66218b|5228858767214949|American Express|08/28|54167.46|Real|0.19
GlobalCorp|16.21|155-71-2229|+1-954-868-7578x972|Kevin Rodriguez|bb5aacb3-dc09-4480-88c6-e8e652807680|3590332387852392|Visa|05/28|14402.84|Yen|0.007
GlobalCorp|7.27|694-50-5291|869.135.4986|Christine Alvarez|917235fd-7c19-4764-8397-4730068c67eb|4264682269073494233|American Express|10/25|45636.38|Euro|1.1
Apex Solutions|9.27|409-26-1163|001-643-489-8620x78961|Michael Palmer|529f2272-e998-4f48-89ea-08152d409fb6|6508045551345423|Mastercard|05/26|35519.16|Yen|0.007
GlobalCorp|11.54|884-82-9560|247.672.0505|Mrs. Olivia Randall|a0c030d2-b4cc-49c4-9d05-ecad240e86f1|503840389012|UnionPay|06/25|7785.88|Euro|1.1
NextGen Ventures|11.14|162-02-7965|+1-224-435-8195x059|Alex Phillips|a6c85859-f390-423c-805d-23a8f7fe4ebd|30228471175423|American Express|06/27|53044.94|Libra|1.3
Apex Solutions|2.85|348-11-4932|(560)229-6040x653|Steven Fowler|d452706b-daf4-4eda-abdd-691d3e5f3969|4735600367350|American Express|12/26|80264.08|Dolar Canadiense|0.75
GreenWave Inc.|12.2|337-92-4264|001-464-218-6064|Mary Orr|ec1ae593-df84-4ad6-b5f7-54c0b6bc1c56|3525959990671270|Discover|03/25|71556.36|Pesos Argentinos|0.0028
Prime Dynamics|11.73|860-30-8789|827.514.9271|Latoya Wilson|66092b17-dff2-4492-b6af-a548d105e064|3528588598612571|UnionPay|12/26|6948.15|Dolar|1
NextGen Ventures|5.56|418-57-8502|9026289626|Darren Barnett|1b7726dc-7c4b-4502-88a0-7b236306a32b|3527303040805836|UnionPay|09/28|51565.45|Yen|0.007
TechNova|17.56|531-27-1845|(433)216-5974x420|Marie Ray|069f961b-b3c6-4878-a035-cfdb15ba6459|4891657064623706|UnionPay|10/25|33949.42|Real|0.19
NextGen Ventures|2.96|709-17-9063|795-741-3998x6654|Breanna Ellis|7b3dcab1-830d-495a-b576-8341c9abc4a2|4343020568238634|Discover|01/25|39241.4|Libra|1.3
Visionary Labs|5.2|110-13-3231|064-992-2293|Kyle West|a9f84ffb-717a-4e65-8971-cb92dd8bf1ee|375243580732967|American Express|09/25|30416.2|Real|0.19
TechNova|5.38|715-70-0635|+1-114-585-8161x928|Kathleen Clark|5c46a848-7b36-4cda-b0a0-d9a9cb201240|349601797261497|Mastercard|05/27|40299.94|Yen|0.007
NextGen Ventures|12.35|018-22-5448|001-854-973-9793x711|Paul Mcguire|c3db3d64-52ee-48a1-b474-0b366b74d08e|341957258937258|Visa|09/26|23953.72|Real|0.19
Prime Dynamics|15.2|654-15-3490|(727)400-3239x5337|Jonathan Barnes|005e08fc-7b40-4ceb-be7f-842252bc6762|4612165100264638716|UnionPay|09/25|81975.21|Libra|1.3
EcoSolutions|9.13|861-83-8826|(153)945-3062|Joyce Martin|57b9dd26-681c-4b48-a547-a0d9790e50b8|4199422260649164|Visa|07/27|17296.59|Libra|1.3
Apex Solutions|18.77|556-68-0427|208-085-4977x0184|Loretta Williams|fbc0c03c-f921-423d-8a5b-35d57bda5b86|38230705721123|UnionPay|06/28|3225.81|Real|0.19
Prime Dynamics|19.63|142-07-6717|(325)210-2929x43824|Abigail Patterson|f7d1ee00-892f-41f2-ad4a-6be921cbbc67|3533080415951351|Visa|10/29|67643.91|Euro|1.1
Apex Solutions|2.53|520-32-4146|570-984-5583x069|Edward Walton|e339d690-9f0c-475e-a585-1a0da7463220|30048113700960|Visa|07/26|11122.83|Dolar|1
TechNova|7.13|322-54-7995|(172)888-1084x0715|Michael Hayden|9173ca61-46ac-4cf1-be98-958bef223719|4218796725897|Mastercard|08/26|94273.63|Pesos Argentinos|0.0028
Prime Dynamics|13.07|653-73-9317|778.300.8036|Michael Martinez|d6c4ce5a-72d7-4746-9a72-b968c371920f|3545307579938551|American Express|03/27|58656.17|Dolar|1
BluePeak Systems|11.19|369-19-9623|070-513-2299|Anna Wilson|3921ff7e-167e-430d-81d5-1faadb6c3a31|372944056752289|Discover|03/29|29495.84|Pesos Argentinos|0.0028
GlobalCorp|1.04|146-55-3225|189.927.8412|Allison Collins|13232b46-2ac9-4f7a-982c-2e4f6f5d2f3e|4995803868709|Mastercard|10/29|76010.06|Pesos Argentinos|0.0028
TechNova|19.63|009-86-1783|005.307.0834|Brandi Turner|02fd3950-a044-4825-897c-fac278c06205|30009947566548|Discover|03/25|73812.47|Dolar Canadiense|0.75
GlobalCorp|12.52|107-03-5580|723.112.4601x8748|Lisa Parker|a7a82b58-cdde-4281-983a-cb1bef20f8ff|3522902191984871|UnionPay|05/28|31993.32|Dolar|1
GlobalCorp|19.94|011-18-3772|001-376-996-4398|Peter Gray|d2e94d4b-1070-48b4-8b2e-5320647a614d|4131356221170517|Visa|01/29|31129.82|Pesos Argentinos|0.0028
Prime Dynamics|14.94|096-52-9093|315-884-6442|Frederick Murphy|424deed8-570f-40d9-90d9-25db1e7c5d20|373125289051686|Visa|07/29|10758.57|Yen|0.007
NextGen Ventures|14.98|683-02-6484|+1-281-735-4076x0069|Samuel Mclean|35383999-f993-4735-9abf-5ff75dd2302d|4413617527415783818|American Express|04/27|2630.28|Dolar|1
EcoSolutions|12.53|733-25-1484|004.316.4718x4250|Johnathan Lawson|d05d99f6-8ef9-48a9-a467-2dff67a3efbe|373033775892532|American Express|12/28|83497.8|Dolar Canadiense|0.75
EcoSolutions|8.2|058-86-5500|001-990-050-7886x884|Michele Jones|e87457ab-8026-4a18-85a2-e5e7239884d2|2720608400305046|Discover|02/29|92800.6|Real|0.19
Apex Solutions|5.42|625-86-6714|907-468-7766x883|John Howard|907ac367-cd52-4d51-a8db-f7966233b18b|3595301905258841|Discover|03/28|99928.91|Dolar|1
BluePeak Systems|18.28|736-81-7529|708.160.9854x560|Michael Lamb|34c230f1-1d7f-456c-a2c8-d594df934ce4|4539399008885828769|Mastercard|08/29|17144.27|Real|0.19
TechNova|5.34|569-68-3554|(696)036-0833|Evelyn Burns|cedf8079-5c85-4d97-a279-10bf8f252b73|213184775465292|Visa|10/28|93901.36|Dolar|1
EcoSolutions|5.67|336-43-1848|224.946.2336x5290|Kyle Johnson|2942bcf3-79e7-4ec7-ae42-e551018bd262|630486378106|UnionPay|06/28|44915.15|Euro|1.1
Apex Solutions|2.0|169-57-6051|001-884-746-9015x72671|Thomas Vazquez|ffe2e6fe-404a-47a4-b078-ff4f008afcca|5181210311121383|American Express|07/27|62876.68|Libra|1.3
GreenWave Inc.|19.26|895-80-9251|+1-792-994-2305x93751|Jack Rose|374d2326-17b3-4ee2-9f26-73a59ce23785|2237217800131600|Visa|02/26|82168.73|Real|0.19
BluePeak Systems|14.89|381-88-4794|015.334.9695|Sheri Ferguson|3b421881-ad78-47a3-a5d7-53fe6f79c28c|4999824997554|Mastercard|09/28|46464.44|Dolar Canadiense|0.75
Apex Solutions|18.36|875-30-5956|+1-569-026-7574x18152|Lisa Brady|9ddde028-c9e2-44b1-b968-5c13bbbadc63|375230987296381|Discover|09/29|63286.9|Yen|0.007
Skyline Ltd|0.93|279-20-0785|+1-987-709-6286x10013|Brandi Gordon|ac96a4d2-b225-4675-9fe9-183d4e14b20d|377245534510686|UnionPay|07/29|49333.82|Euro|1.1
Visionary Labs|17.0|488-59-9353|917.147.9396|Samantha Duncan|8c9aa0f5-70cf-45ef-afc9-209f972f5b58|180001528201338|American Express|07/29|73229.86|Yen|0.007
Skyline Ltd|9.15|712-70-8882|781.515.3711x1727|Brandon Hayes|2ca9448e-8f0c-43bc-be0c-cfd7c2440738|3582931004473787|Discover|08/26|79653.2|Pesos Argentinos|0.0028
Apex Solutions|2.17|848-47-6219|689.219.3643|Christopher Howard|41fe220d-a589-46aa-be04-8f07a6ffd9c2|4861356226492052|Mastercard|02/25|57160.65|Libra|1.3
Visionary Labs|14.36|267-61-5262|+1-293-103-0795x671|Ashley Mcbride|277472e5-c095-4309-911d-fb79da848e2c|4363373032067|Discover|04/26|79002.12|Euro|1.1
Apex Solutions|16.69|055-72-5809|(156)066-5556x55651|Katie Weaver|2c291718-0f64-4375-997b-a29db085f4cb|3513141443792409|Visa|09/29|41629.01|Real|0.19
Skyline Ltd|6.56|810-62-4997|+1-811-413-4359x4391|Maria Payne|94908f07-e3bf-4537-bd7c-35b5659e6607|30526166103752|UnionPay|07/29|81769.82|Dolar Canadiense|0.75
Prime Dynamics|7.38|294-52-7916|0903553277|Patricia Donaldson|72cc21ce-a564-4d66-8c09-c1a8c6084421|4048216865633414629|Discover|01/26|18666.46|Euro|1.1
Apex Solutions|2.95|181-76-2725|456-421-5732x778|Danielle Mitchell|7f200248-68e8-4627-853c-cd145970b65a|4559302758735143|Mastercard|10/25|75813.23|Dolar Canadiense|0.75
Visionary Labs|17.25|867-80-4796|289-907-2773|Kyle Ball|6e59f67b-20d0-466a-acd6-91b7b3ea24f2|3592609237659715|Visa|03/29|57034.48|Real|0.19
Apex Solutions|6.77|587-65-5444|371-070-2731|Robert Campos|ea56d72c-53ad-4a45-aa6c-18091eb791cd|3526559950342422|UnionPay|05/27|56532.42|Libra|1.3
GreenWave Inc.|1.07|303-57-8417|0569093535|Katie Hahn|86e4c5e4-ab1f-4762-9279-c4d5ba3a023c|2711258259204956|Mastercard|08/27|43967.25|Euro|1.1
Skyline Ltd|7.31|809-18-1285|140-187-0599x14659|Melissa Garcia|38ea516e-5d82-4800-821a-5b734a1ee798|4405578582373591|UnionPay|02/25|75801.16|Dolar|1
TechNova|10.01|074-15-1033|(837)167-3096x2895|Nicole Brewer|12f04b27-dfb0-499f-b38d-502c61b76e39|3509157024167296|Discover|03/27|57038.36|Pesos Argentinos|0.0028
GreenWave Inc.|6.46|395-19-8747|2426037910|Leah Conner|d2cc7b63-6a85-4d04-8b92-f8cddf481874|180023078978594|UnionPay|11/27|69865.78|Libra|1.3
Prime Dynamics|10.13|808-86-7712|677-976-9266|Devin Anthony|5e5b771e-1df6-47e9-aab0-173bc314f263|4094459533249961165|UnionPay|06/26|78705.58|Dolar Canadiense|0.75
Visionary Labs|4.95|726-57-4352|001-085-070-0550x424|Ashley Villa|8e0193dd-d4a5-4fbb-aec3-c9f3fdf34f8a|377253298403460|American Express|02/27|17423.73|Yen|0.007
TechNova|10.08|851-94-0515|371-718-5932x15049|Melissa Smith|ff61dd2d-606e-4f94-a75d-719578f10d49|4312190997081678|Visa|08/28|37199.02|Pesos Argentinos|0.0028
GreenWave Inc.|10.82|086-52-3826|087.547.8095x977|Louis Lewis|7171bbe5-ae8e-4497-b259-1c340b41dda1|2264051578223802|Mastercard|04/28|21529.98|Libra|1.3
Prime Dynamics|3.11|697-24-4296|(833)881-3939x222|Richard Price|39f0b951-c19d-4026-a3f6-62e508481556|6530725161891997|Mastercard|08/27|14555.28|Real|0.19
NextGen Ventures|8.23|723-32-8512|001-310-046-5100x10458|Jacqueline Garcia|1f90dc2f-f158-489b-aa61-358df471ccea|4498068214016|American Express|11/26|25490.58|Real|0.19
Apex Solutions|0.58|660-73-2207|7151550614|Deanna Garcia|c1988d4d-984f-4c32-b6ed-32757591cf9e|180055568326777|American Express|11/28|8881.61|Pesos Argentinos|0.0028
GlobalCorp|14.02|883-64-8199|+1-590-222-8087x5963|Cynthia Osborn|6b2c4aad-09fb-42b7-93b0-c278f89f3c27|372784521410240|UnionPay|09/29|78518.13|Dolar Canadiense|0.75
Skyline Ltd|8.41|759-72-2428|+1-002-010-7500x44602|Jane Humphrey|407bc7ce-b416-4cc1-9e5d-941e12dfbe4e|2714172374771624|Discover|08/27|84349.48|Dolar Canadiense|0.75
NextGen Ventures|11.82|583-92-6381|550.738.4010|Theresa Miller|2bf57b62-9286-4151-a7d1-9f07e45bc26b|4618800970682930194|Discover|11/28|15986.92|Pesos Argentinos|0.0028
GreenWave Inc.|3.51|239-51-5985|480-725-1398x251|Mr. Jonathan Brown DDS|c1dea2e0-f337-4615-b3c7-d4415f3cbc12|4224389068152259859|Mastercard|06/28|56792.45|Pesos Argentinos|0.0028
Apex Solutions|14.44|382-01-2747|304.222.0338x117|Joseph Farmer|e57fddf0-f0e5-4c4a-9274-03c44af6d8e1|3596692239683095|Visa|10/29|24841.09|Dolar|1
EcoSolutions|1.43|465-59-6183|(961)380-5115x542|Martin Kidd|73e9dc3c-94e4-4866-a2ce-c85baef1446d|3536254899992820|Discover|01/27|86523.36|Dolar Canadiense|0.75
TechNova|3.14|026-29-3771|001-837-256-6091x81844|John Irwin|bc8e54c8-27b8-4760-97c1-a9900a9821b4|30012193100103|Visa|11/26|35855.35|Dolar Canadiense|0.75
BluePeak Systems|1.37|045-59-1172|414.225.6005x387|Julie Frazier|71858dac-27f8-4a76-b343-7b595d081b9c|3512144867973464|Visa|05/29|3080.38|Yen|0.007
Visionary Labs|10.52|611-47-8723|137.668.9448x43043|Gina Pope|e7e133bc-e3f6-41ac-b8cd-835e3131a047|4268401803563|American Express|07/26|99165.01|Pesos Argentinos|0.0028
Skyline Ltd|5.09|075-49-2937|001-283-486-7631|Regina Flores|45ddeabf-c32c-43f0-a302-453636087071|347694937992396|UnionPay|12/27|59246.12|Yen|0.007
GlobalCorp|2.3|571-24-1442|001-588-566-9750x1174|Stephen Moreno|a70e3b98-30ca-40f5-a8e9-0b103b00d667|38848361993700|Discover|10/26|24688.52|Dolar|1
Visionary Labs|0.51|126-89-5935|496-537-2138x37332|Jessica Perez|6d23b1d0-75d0-47aa-b4d5-5c2e273d8151|30135480202199|Visa|05/25|24754.37|Libra|1.3
Visionary Labs|11.91|241-46-7482|001-674-247-7793x48898|Caitlyn Clark|3c469952-af32-4370-ad2b-a8200a688f97|4659769981649260040|Discover|03/29|25698.84|Libra|1.3
Apex Solutions|11.18|342-23-5075|001-795-588-6961|Michele Fletcher|7b11e66c-0304-4cc5-92a3-1dcd0861e124|2708431770420782|UnionPay|10/25|93111.63|Yen|0.007
GlobalCorp|11.64|154-52-4895|+1-375-964-8000x512|Teresa Petty|75c1f40d-682e-4582-b5a5-13f2d2cf649f|639040660164|American Express|05/29|85979.11|Euro|1.1
Prime Dynamics|1.19|281-26-4018|115-680-5346x0795|Anne Johnson|28591240-7c50-4cae-99b0-986b79a72958|6011405499721491|Mastercard|05/29|37019.63|Real|0.19
BluePeak Systems|10.29|147-69-7876|018-369-6906x5158|Timothy Parsons|936ffa8f-a6ba-426b-986a-ee70edca47bd|346730747344203|Visa|04/26|807.13|Pesos Argentinos|0.0028
GlobalCorp|0.66|174-73-2642|934-079-2590x88268|Jody Humphrey|d39ae6d2-3bcd-44a0-a8b2-1c097808dc22|6011559496893651|Mastercard|05/25|65912.27|Real|0.19
Apex Solutions|19.62|143-23-1549|(730)961-9742x1756|Madeline Garcia|7ef75d80-f8f0-4c17-99e9-65294be5a489|676188770108|UnionPay|01/26|92993.75|Pesos Argentinos|0.0028
Prime Dynamics|2.95|848-87-9708|644-247-7765|Heather Moore|e692e2c0-76d7-401a-a51a-6453182d6553|2675711315429367|American Express|07/25|22787.19|Dolar Canadiense|0.75
Prime Dynamics|15.6|667-78-6218|+1-035-201-6805|Scott Hayden|463ddcc4-1f3b-4c11-9565-d0c0c2429d6e|4498708912034153|Visa|05/26|22073.4|Dolar|1
NextGen Ventures|17.99|359-31-0695|001-661-169-8810|Kiara Vaughn|6804bce4-c956-4dd4-b8c7-4bf3b14a1121|2283694890026937|Discover|08/28|91175.65|Pesos Argentinos|0.0028
GlobalCorp|2.27|153-81-9440|440-013-9816x05154|Michael Hawkins|e036bb84-242b-493d-89b2-e3c33586b5b7|3585519224526513|UnionPay|10/28|16887.16|Dolar|1
BluePeak Systems|14.79|863-49-2503|001-858-376-3259x87941|Cynthia Estrada|e2ee5dd2-282f-4d6a-b75f-566d8f047c30|340381981057907|Visa|02/26|35092.66|Libra|1.3
Skyline Ltd|11.93|731-22-8141|001-195-814-3800x2137|Mark Martinez|9b183c1e-67f3-4af6-8ac4-7098500eed84|3509494393912519|Visa|11/25|76779.68|Libra|1.3
Visionary Labs|17.65|887-53-1108|(289)813-2248|Lee Gonzalez|6e8c0f6e-44b8-4e43-bc1b-00ce1ef706a5|3556447776112810|American Express|11/26|42560.82|Euro|1.1
GlobalCorp|14.21|056-68-9846|165-157-9673|Stephanie Love|8851fb19-bba8-4705-aed3-4881f0a4d06e|6534787506304827|Discover|02/28|41155.03|Euro|1.1
GreenWave Inc.|14.08|434-46-4674|443-655-7737|Edward Bryant|ed07e76c-ee21-40f0-b1ad-0faba5aa6f5f|4429425377414507|UnionPay|12/24|69943.47|Dolar|1
GreenWave Inc.|16.32|605-04-7770|060-001-1450x58053|Tamara Moore|1e660ffb-57f6-414d-9502-1d3f79cf6480|213141578197357|American Express|12/26|1730.24|Libra|1.3
EcoSolutions|1.21|431-95-6551|159-757-8939x064|James Allen|3951403d-3247-49ea-9fd2-d4b1497f59a3|575325265313|American Express|08/28|22576.23|Real|0.19
NextGen Ventures|12.41|510-93-6764|048.830.0424x2828|Mr. William Wagner|b1fb82e3-388a-4219-85b9-525c8546c13a|4080309681561528|Mastercard|01/26|89068.48|Dolar Canadiense|0.75
GlobalCorp|1.85|667-74-0532|(968)302-8734x09554|Lauren Rivera|038de531-ee47-4c0f-95b8-829f209e3174|30218048937785|Discover|08/29|91488.51|Yen|0.007
Apex Solutions|4.35|134-04-8655|001-421-676-1142x13942|Mitchell Anderson|b0af73da-0477-4c08-9114-ef49c36bcd02|30339168050843|American Express|08/27|87224.11|Real|0.19
Visionary Labs|12.51|196-90-8146|667-109-4097x3973|Elizabeth Crawford|2c98fd08-cd3f-436c-bc05-9b8ba8a726a8|3591005303670101|Discover|06/27|96607.27|Yen|0.007
Skyline Ltd|2.71|148-17-5970|001-911-595-1183x362|Adam Bolton|4d2fe9c4-d7fb-46c2-8c2c-4a9c4f0e6b0c|2398062350518136|Mastercard|10/27|81896.92|Dolar|1
BluePeak Systems|13.06|503-43-0061|(348)858-4150|Kristen Peck|f4c9c9df-3dcc-4550-976c-9f0ad5b4dfa4|4415701620577845|UnionPay|06/26|99363.29|Real|0.19
Apex Solutions|15.19|585-73-0591|(515)384-2152|Shannon Carlson|d6dc8ba8-6c0a-4290-b781-1393c6d33b3b|4474976269631180|Discover|05/26|60289.57|Pesos Argentinos|0.0028
Prime Dynamics|9.96|834-88-0478|(435)720-5530x8688|Keith Stark|6093b3c0-a91e-49a1-aebb-6fc5d8cd692a|4086740179028|UnionPay|12/25|82556.1|Real|0.19
BluePeak Systems|6.29|538-68-7542|001-406-556-4673x73948|Melinda Jenkins|bf6fd476-53fe-4d32-81c8-00d8afa73a74|4100839841939269|Visa|06/25|58617.57|Dolar Canadiense|0.75
Visionary Labs|4.71|682-99-4814|116.802.7495|Kurt Garza|63a8bc9b-ef9c-4aec-a667-5bb5259694e1|4205974126358200|UnionPay|04/26|46695.25|Dolar|1
Apex Solutions|16.14|528-44-0811|866-984-7275x733|Ashley Shaw|57c52918-664a-4a11-9b71-93f906eb16c4|344892406226576|Mastercard|07/25|98067.7|Euro|1.1
Apex Solutions|6.05|441-25-3046|967-987-2567x5098|Kimberly Morgan|7e756576-ae7d-48a1-8325-8d51c6fea6ab|3541129514526208|UnionPay|10/28|32664.3|Dolar Canadiense|0.75
BluePeak Systems|2.13|286-31-6243|+1-382-842-7315x383|Jamie Singh|e1b29f25-0eae-4bab-b4c8-0938a95ec206|502030278886|Discover|04/28|56510.62|Dolar Canadiense|0.75
GlobalCorp|18.31|009-11-3052|+1-324-521-9210x3434|Sherri Becker|2b2fa5a9-9c73-447d-a95e-674e1f0f4c79|4443098710958170982|UnionPay|01/28|80300.79|Pesos Argentinos|0.0028
GreenWave Inc.|3.86|678-93-3777|272-033-3625x8013|Lisa Williams|082b794d-9410-4186-8925-0086a969266c|374096711910907|Discover|09/28|49360.45|Euro|1.1
Skyline Ltd|4.3|251-36-7975|121.676.7196|Anthony Shelton|0a0429b5-9f37-4258-8e42-fd98330d2d6d|4747164140835906734|UnionPay|12/27|72224.07|Dolar Canadiense|0.75
GreenWave Inc.|10.8|267-89-4178|1507601158|Megan Powell DVM|e198923c-b270-4377-9597-1ef7ae707b4a|4075059016182992770|UnionPay|07/26|39834.38|Real|0.19
EcoSolutions|16.97|532-90-1222|954.689.7587x5780|Martin Warren|37f63255-bdcc-46da-ac78-a3902d06de24|30182968138685|American Express|02/27|64657.1|Libra|1.3
GreenWave Inc.|11.77|582-60-5146|371-843-4219|George Boyd|e00a5d26-70a3-42f1-b873-a67740baa052|4563960005067|American Express|07/29|84557.76|Euro|1.1
Apex Solutions|14.24|816-05-7094|(303)110-5594|Jasmine Smith|c429e147-cb79-4257-a097-ed34c04f533c|3565543936199983|Discover|06/27|15661.92|Real|0.19
GreenWave Inc.|16.99|853-61-1064|539.530.3102x5982|Paula Porter|2f02de13-72ba-41dd-b4c3-567dd69eb5f1|345291599528436|Discover|10/27|48686.44|Dolar|1
GlobalCorp|17.73|397-25-1460|(502)962-0303x72098|Andrew Perkins|3fa5fbb2-c9a4-46f8-ac35-c442aac27b3a|3507535087054323|Visa|01/25|33642.85|Libra|1.3
Skyline Ltd|10.75|613-24-4992|226-971-6925x783|William Hardy|b4133b72-7751-46db-9941-6a20dcb176fa|4645718484783|UnionPay|09/27|25876.51|Libra|1.3
Apex Solutions|7.19|553-87-5107|535-077-5832x587|Misty Rivera|1457f456-ef06-4b2f-93e4-501900d589f6|4037661125417|Discover|04/26|4332.38|Dolar Canadiense|0.75
EcoSolutions|9.51|075-76-0168|(683)105-8010x3191|Rebecca Friedman|d4d54e80-756a-48bb-a816-aebcf2c4db3b|6011378508240003|Discover|11/28|76116.96|Yen|0.007
TechNova|11.83|785-93-9431|784-099-4753x77018|Pamela York|b4fc6a99-1b79-49a7-94ff-03ada70e51ed|5399838250913150|Discover|04/28|96357.02|Real|0.19
TechNova|6.03|134-68-5765|(745)000-0183x12228|Sheila Hughes|3809963d-52d6-4268-ab8f-83957f4bc370|4118121868455|American Express|05/25|77083.5|Pesos Argentinos|0.0028
TechNova|11.73|536-66-7631|888.752.3090|Lori Porter|9496d01b-7034-46c4-b5ee-e16cc8ddabcd|4539211755633562|Mastercard|05/25|11736.21|Real|0.19
GlobalCorp|11.72|710-79-6226|9192662732|Tiffany Hernandez|235cfcf2-6fa4-4b5e-aa3e-f5895655743c|6511778106223670|Visa|10/26|26324.68|Real|0.19
EcoSolutions|16.34|129-77-9659|(452)793-8283x1820|Roy Torres|c362d059-7c7a-4951-8910-376a2e7350f1|4461846711019588|Discover|10/27|81196.92|Euro|1.1
GlobalCorp|10.2|055-56-9836|+1-383-009-3069|Darius Herring|ba9f3fdf-0900-4a25-a195-728d62b3c729|4536481001068888|Visa|12/24|80998.01|Real|0.19
Skyline Ltd|19.27|608-38-9225|932-853-0233x5449|Kimberly Smith|578af523-00a6-483f-9353-a78f3a927c9a|4593692344244354|Mastercard|02/29|82277.3|Yen|0.007
NextGen Ventures|13.4|838-40-9652|+1-170-372-2587x2067|Lisa Patel|95718205-9a90-4734-aad6-8da5bab3902f|3525857134943789|UnionPay|03/25|2630.71|Dolar|1
Visionary Labs|2.82|039-45-4372|(631)092-1817x8711|William Torres|6a60b994-09a8-4d07-a25b-67bd5e5d76d2|5241237329505735|Discover|01/29|90820.47|Pesos Argentinos|0.0028
GlobalCorp|9.72|804-31-8355|283.000.8303x7473|Christine Pollard|efafa502-00a2-49c5-95ab-02351dc8c90e|6500836099928029|Discover|07/27|78397.88|Real|0.19
BluePeak Systems|3.52|883-18-9697|698-686-2173|Victoria Williams|a11efca3-4689-4d42-b9cb-1be046e82723|3571606078160048|Discover|10/25|53097.37|Pesos Argentinos|0.0028
Prime Dynamics|15.49|395-56-6438|001-960-126-1197x0695|Jennifer Lee|0dfd886d-76bd-4ad3-8d27-c556af8b5234|4480900050066762|Visa|03/28|30785.57|Euro|1.1
EcoSolutions|10.32|595-42-4490|001-244-834-8374x113|Courtney Johnson|0a548e4d-c4a6-4e43-bacc-99808b5dfd6b|3506447430932802|UnionPay|09/29|10538.74|Euro|1.1
GreenWave Inc.|0.92|436-22-7968|566.080.4603x20549|Rebekah Harris|ffbefb58-80c4-4992-843c-41ea2a35cbb1|6550882097222683|Discover|06/28|52754.93|Dolar|1
Skyline Ltd|10.65|618-74-6885|(256)132-1026|Evan Acosta|9c763ff4-d06d-4c1e-bcb2-e520aabd0f42|38310572663754|Mastercard|02/28|80761.49|Dolar|1
EcoSolutions|3.69|610-90-3500|001-806-696-5816|Shelly Smith|e05d4f1d-5fb5-4837-bd9b-9c18a11b69cc|6011116083823573|Visa|10/28|47692.15|Real|0.19
Skyline Ltd|11.35|400-63-5488|950-312-6672x012|Kathryn Johnson|95a968fe-bb12-4249-ad2b-9e6a59ad6951|3534045542179134|Mastercard|06/26|16562.75|Dolar|1
Apex Solutions|4.11|283-13-7696|(689)042-1154x764|Shaun Walker|43d5b080-807d-463f-aa6f-3e5f0f58cb50|3503115933835243|UnionPay|07/25|33200.38|Dolar|1
Prime Dynamics|3.16|650-84-9011|066.006.2163|Nicole Nguyen|f4b755c8-b343-464f-8b92-59d52ce7bedc|30489873643042|Discover|05/25|11449.36|Yen|0.007
BluePeak Systems|17.52|805-92-3861|001-080-500-1972x423|Michael Grant|2ca5853c-60bd-4f4b-8907-372a2a6e276d|2264949309981665|American Express|06/29|5190.21|Real|0.19
GreenWave Inc.|13.71|644-63-2181|001-000-626-9748|Zachary White|ceb2431f-4471-42fe-abac-4a4ad48061b3|4827484517877444|Discover|11/27|57320.03|Pesos Argentinos|0.0028
BluePeak Systems|12.92|266-08-5845|(748)437-2148x912|Daniel Hill|1087c66f-aa31-4190-a47e-327ae8a704cd|3561157747483884|Visa|06/26|90613.79|Real|0.19
NextGen Ventures|12.04|217-43-0960|018.074.7796|Cathy Norman|2d677caf-5aa7-4d60-8193-46861da354a6|4172446126717287195|UnionPay|05/25|19164.02|Euro|1.1
TechNova|7.5|583-46-5160|001-785-884-8258x73984|Courtney Walls|5fd08941-6283-4ba3-bf50-6bd52069cd2b|3577781583038106|Visa|08/29|75134.55|Libra|1.3
BluePeak Systems|17.23|843-86-4602|001-871-909-2792|Felicia Mckay|98297210-a289-432c-8aee-8526168bc5c0|3554504764691494|Visa|01/28|71928.01|Yen|0.007
GlobalCorp|2.97|053-38-1296|803.335.4606|Justin Rios|3c8abe9e-9c00-4927-b9a0-01d52db13542|4255018818132199|UnionPay|12/26|20127.3|Dolar Canadiense|0.75
GlobalCorp|10.3|740-19-8695|(632)954-4978x1155|Jeffery Jackson|a7ce525b-1fbd-46f1-b139-c8d327c9884f|3557195564246014|UnionPay|06/29|99396.1|Libra|1.3
TechNova|10.05|026-67-7972|709-795-1246|Ryan Farmer|adb6ff5f-49d5-4280-ab72-144177cb6752|3561225257748119|American Express|04/26|94029.49|Euro|1.1
